カテゴリ,サブカテゴリ,目的,検索コード,ブランド,名称,税抜単価,台数,税抜小計,商品リンク,備考
プレートロード,背中,シーテッドローを高級化する,B-08 プレートロード,gym80,Seated Row Machine / Dual Row系,"¥1,800,000",1,"¥1,800,000",https://gym80.de/en/product/3040/,レジスタンス寄りの高級ロー。既存との置換候補
プレートロード,肩,ラテラルレイズを入れる,B-09 プレートロード,gym80,Pure Kraft Shoulder Lateral Raise Dual,"¥2,200,000",1,"¥2,200,000",https://www.gym80.co.uk/products/pure-kraft-shoulder-lateral-raise-dual,フィジーク層・ボディメイク層向け
プレートロード,脚,ハックスクワットを入れる,B-10 プレートロード,gym80,Pure Kraft Hack Squat,"¥2,300,000",1,"¥2,300,000",https://gym80.de/en/product/4159n/,脚トレの本命。3段階調整フットプレート
プレートロード,脚,ライイングレッグカールを入れる,B-11 プレートロード,gym80,Pure Kraft Lying Leg Curl,"¥1,800,000",1,"¥1,800,000",https://gym80.de/en/product/4337n/,ハムストリング特化。脚の完成度を上げる
プレートロード,脚,レッグエクステンションを入れる,B-12 プレートロード,gym80,Pure Kraft Leg Extension,"¥1,800,000",1,"¥1,800,000",https://gym80.de/en/product/4336n/,大腿四頭筋。既存更新・高級化候補
プレートロード,脚,カーフ専用マシンを入れる,B-13 プレートロード,gym80,Pure Kraft 55 Degrees Standing Calf Raise,"¥1,800,000",1,"¥1,800,000",https://gym80.de/en/product/4345/,置いてあるジムが少なく差別化しやすい
プレートロード,脚尻,ベルトスクワットを入れる,B-14 プレートロード,gym80,Pure Kraft Belt Squat,"¥2,200,000",0,¥0,https://gym80.de/en/product/4360/,Precor Deadlift Eliteやラック構成と要調整。採用なら台数1
プレートロード,脚尻,ペンデュラムスクワットを入れる,B-15 プレートロード,gym80,Pure Kraft Pendulum Squat,"¥2,400,000",0,¥0,https://gym80.de/en/product/4353n/,ハックスクワットとの比較候補。採用なら台数1
プレートロード,腕,バイセップカールを入れる,B-16 プレートロード,gym80,Pure Kraft Biceps Curl Dual,"¥1,600,000",1,"¥1,600,000",https://www.gym80.co.uk/products/pure-kraft-biceps-curl-dual,二頭専用。腕を鍛え切れる感を出す
プレートロード,腕,トライセップスエクステンションを入れる,B-17 プレートロード,gym80,Pure Kraft Triceps Extension,"¥1,600,000",1,"¥1,600,000",https://gym80.de/en/product/4356/,三頭専用。カールとは分けて導入
プレートロード,背中,背中を低コストで強化する,B-18 プレートロード,ECOLECO FITNESS,ELC シーテッドロウ,"¥294,000",0,¥0,https://ecoleco-fitness.com/expert-model/plate-load/elc-series,Arsenal/gym80が高い場合の代替候補
プレートロード,肩,肩を低コストで強化する,B-19 プレートロード,ECOLECO FITNESS,ELC ラテラルレイズ,"¥294,000",0,¥0,https://ecoleco-fitness.com/expert-model/plate-load/elc-series,gym80が高い場合の代替候補
レジスタンスマシン,,,,,,,,,,
レジスタンスマシン,脚,レッグエクステンションを高級化する,C-01 レジスタンス,Hammer Strength,Hammer Strength Select Leg Extension,"¥1,300,000",0,¥0,https://www.lifefitness.com/en-us/catalog/strength-training/selectorized/hammer-strength-select,gym80 Leg Extensionを入れる場合は不要
レジスタンスマシン,脚,レッグカールを高級化する,C-02 レジスタンス,Hammer Strength,Hammer Strength Select Leg Curl,"¥1,300,000",0,¥0,https://www.lifefitness.com/en-us/catalog/strength-training/selectorized/hammer-strength-select,gym80 Lying Leg Curlを入れる場合は不要
レジスタンスマシン,腹筋,アブドミナルを入れる,C-03 レジスタンス,Hammer Strength,Abdominal Crunch,"¥1,300,000",1,"¥1,300,000",https://www.lifefitness.com/en-us/catalog/strength-training/selectorized/hammer-strength-select,初心者にも分かりやすい腹筋マシン
レジスタンスマシン,腕,アシストチンディップを入れる,C-04 レジスタンス,Hammer Strength,Assist Dip Chin,"¥1,300,000",1,"¥1,300,000",https://www.lifefitness.com/en-us/catalog/strength-training/selectorized/hammer-strength-select,初心者向け懸垂・ディップス
レジスタンスマシン,胸,チェストプレスを高級化する,C-05 レジスタンス,Life Fitness,Insignia Series Chest Press,"¥1,600,000",0,¥0,https://www.lifefitness.com/en-hk/catalog/strength-training/selectorized/insignia-series-chest-press,胸は既存設備と重複しやすいため優先低め
レジスタンスマシン,尻,,,Panatta,Standing Abductor,,,,https://www.panattasport.com/it/fit-evo/standing-abductor-machine/,
有酸素,,,,,,,,,,
有酸素,HYROX,スキーエルゴを入れる,D-01 有酸素,Concept2,SkiErg PM5 スタンド付,"¥205,000",1,"¥205,000",https://www.concept2.com/ergs/skierg,HYROX感・省スペース
有酸素,HYROX,ローエルゴを入れる,D-02 有酸素,Concept2,RowErg,"¥190,000",1,"¥190,000",https://www.concept2.com/ergs/rowerg,HYROX補完。面積確認
有酸素,HYROX,バイクエルゴを入れる,D-03 有酸素,Concept2,BikeErg,"¥180,000",0,¥0,https://www.concept2.com/ergs/bikeerg,採用なら台数1
有酸素,HIIT,パワーマックスを入れる,D-04 有酸素,KONAMI,POWER MAX V3 Pro,"¥1,200,000",1,"¥1,200,000",https://www.konami.com/sportsclub/online/shop/aerobike/power-max-v3/,競技者・無酸素パワー向け
有酸素,階段,パワーミルを入れる,D-05 有酸素,Life Fitness,PowerMill Climber,"¥2,200,000",1,"¥2,200,000",https://www.lifefitness.com/en-us/catalog/cardio/stair-climbers-stepper-machines/powermill-climber,階段系の本命。女性・減量層にも強い
有酸素,階段,クライムミルを入れる,D-06 有酸素,Matrix Fitness,C50 ClimbMill,"¥1,800,000",0,¥0,https://world.matrixfitness.com/eng/home/climbmills/c50,PowerMillとの比較候補
有酸素,階段,ステップミルを入れる,D-07 有酸素,StairMaster,10G StepMill,"¥2,700,000",0,¥0,https://www.corehandf.com/collections/stairmaster,天井高確認必須
有酸素,ランニング,自走式トレッドミルを入れる,D-08 有酸素,WOODWAY,Curve Treadmill,"¥2,000,000",1,"¥2,000,000",https://www.woodway.com/treadmills/curve/,海外ジム感・映え・HIIT対応
有酸素,24時間ジム向け,通常トレッドミルを更新する,D-09 有酸素,Life Fitness,Integrity+ Treadmill,"¥1,800,000",0,¥0,https://www.lifefitness.com/en-us/catalog/cardio/treadmills,既存更新用
有酸素,24時間ジム向け,クロストレーナーを更新する,D-10 有酸素,Life Fitness,Integrity+ Cross Trainer,"¥1,500,000",0,¥0,https://www.lifefitness.com/en-us/catalog/cardio/ellipticals,既存更新用
備品,,,,,,,,,,
備品,競技用ベンチ,競技用ベンチ台を追加する,E-01 備品,ONI,ONI 鬼コンボラック IPF公認,"¥380,000",1,"¥380,000",https://bukiya.net/products/oni373a,既存BULLベンチに加えて1台追加
備品,ベンチ,フラットベンチを追加する,E-02 備品,EVOLGEAR,フラットベンチ EVRB-C135,"¥33,350",1,"¥33,350",https://evolgear.com/product/evrb-c135.html,フリーウェイト周辺の備品
備品,バー,オリンピックバーを追加する,E-03 備品,EVOLGEAR,オリンピックバー EVA-5000,"¥37,950",2,"¥75,900",https://evolgear.com/product/eva-5000.html,ラック増設に伴う備品
備品,収納,プレートツリーを追加する,E-04 備品,EVOLGEAR,プレートツリー EVRB-C154,"¥47,150",2,"¥94,300",https://evolgear.com/product/evrb-c154.html,プレート収納用
備品,補助器具,デッドリフト補助を入れる,E-05 備品,Rogue,Rogue Deadlift Jack,"¥80,000",1,"¥80,000",https://www.roguefitness.com/rogue-deadlift-jack,高重量利用者向け
備品,HYROX,ウォールボールを入れる,E-06 備品,Rogue / 同等品,Wall Ball,"¥30,000",6,"¥180,000",https://www.roguefitness.com/medicine-balls,HYROX備品
備品,HYROX,ケトルベルを入れる,E-07 備品,Rogue / 同等品,Kettlebell Set,"¥300,000",1,"¥300,000",https://www.roguefitness.com/rogue-kettlebells,HYROX・ファンクショナル用
備品,収納,アタッチメントを整理する,E-08 備品,EVOLGEAR,アタッチメントラック,"¥100,000",1,"¥100,000",https://evolgear.com/,ケーブル周辺整理。MAGグリップ用
ストロングマン,,,,,,,,,,
ストロングマン,タイヤ,タイヤフリップを入れる,F-01 ストロングマン,Rogue / 同等品,Tire Flip / Strongman Tire,"¥500,000",1,"¥500,000",https://warriors-gym.com/en/facility/,WARRIORS GYM参考。省スペース・安全性を見て代替器具も検討
ストロングマン,スレッド,スレッドプッシュを入れる,F-02 ストロングマン,Rogue,Dog Sled 1.2,"¥250,000",1,"¥250,000",https://www.roguefitness.com/dog-sled,HYROX/ストロングマン兼用。人工芝レーンが必要
ストロングマン,ファーマーズ,ファーマーズキャリーを入れる,F-03 ストロングマン,Rogue,Farmer's Walk Handles,"¥160,000",1,"¥160,000",https://www.roguefitness.com/strongman/logs-axles-handles,グリップ・体幹・全身系。場所を取りにくい
ストロングマン,ログ,ログプレスを入れる,F-04 ストロングマン,Rogue,LB-1 Rogue 10 inch Log Bar,"¥200,000",1,"¥200,000",https://www.roguefitness.com/log-bar,話題性あり。利用者は限定的
ストロングマン,ヨーク,ヨークを入れる,F-05 ストロングマン,Rogue,Y-2 Yoke,"¥300,000",0,¥0,https://www.roguefitness.com/rogue-yoke,スペースを取るため候補扱い
ストロングマン,サンドバッグ,サンドバッグランジを入れる,F-06 ストロングマン,Rogue / 同等品,Strongman Sandbag Set,"¥250,000",1,"¥250,000",https://www.roguefitness.com/rogue-sandbags,HYROX・ストロングマン兼用
